id,title,category,description,affected_paths,severity,effort,depends_on
F-001,Run gateway and extension suites in CI,reliability,"`scripts/test-parallel.mjs` only runs gateway and extension suites when `OPENCLAW_TEST_INCLUDE_GATEWAY` or `OPENCLAW_TEST_INCLUDE_EXTENSIONS` is set, and current CI workflows never set these flags. As a result, large gateway and extension test surfaces are skipped in the default CI path. Wire these suites into PR/push CI (with sharding if needed) so regressions are caught before merge. The expected fix is complete runtime-path test coverage in CI.","scripts/test-parallel.mjs,.github/workflows/ci.yml,vitest.gateway.config.ts,vitest.extensions.config.ts",critical,M,
F-002,Verify Bun installer integrity in Docker build,security,"The Docker image installs Bun using `curl ... | bash` without pinned artifact verification. This creates a supply-chain exposure window if upstream install script delivery is compromised. Replace script piping with a pinned release artifact and checksum/signature verification. The expected fix is deterministic and auditable Bun installation during image builds.","Dockerfile",major,S,
F-008,Restore streaming indicator animation,bug,"`renderGroupedMessage` applies both `streaming` and `fade-in` classes, while `grouped.css` defines `animation` in both selectors. The later `.chat-bubble.fade-in` rule overrides `.chat-bubble.streaming`, so the working pulse often disappears after initial render. Merge the animations (or move fade to non-conflicting properties) so streaming stays visibly active for the full run. The expected fix is a consistent in-progress indicator during assistant generation.","ui/src/ui/chat/grouped-render.ts,ui/src/styles/chat/grouped.css",major,S,
F-009,Handle session-key aliases in chat events,correctness,"`handleChatEvent` currently requires exact equality between `payload.sessionKey` and `state.sessionKey`. Alias pairs like `main` and `agent:main:main` can occur in operator clients, causing deltas/finals to be ignored and leaving stale or empty chat turns. Normalize and alias-match session keys before filtering, then add regression tests for canonical-versus-alias keys. The expected fix is reliable event handling regardless of key representation.","ui/src/ui/controllers/chat.ts,ui/src/ui/app-gateway.ts,ui/src/ui/controllers/chat.test.ts",major,S,
F-013,Drive busy indicator from run lifecycle,bug,"The chat view currently treats `stream !== null` as the primary busy signal, which can miss runs that are active but not yet streaming text. Base busy/working indicator state on authoritative run lifecycle (`chatRunId` and terminal chat states) and keep read-only indicators visible when no delta text is available. This aligns the UI with actual backend progress and eliminates false idle states. The expected fix is reliable activity feedback across all run shapes.","ui/src/ui/views/chat.ts,ui/src/ui/controllers/chat.ts,ui/src/ui/views/chat.test.ts",major,S,
F-003,Re-enable iOS CI validation,reliability,"The `ios` job is currently hard-disabled via `if: false` in CI, so iOS build/test breakages can merge unnoticed. Re-enable this lane (or move it to a required scheduled workflow with branch protection) and keep project generation plus simulator tests running. This restores feedback for iOS-specific regressions. The expected fix is continuous validation of the iOS app path.",".github/workflows/ci.yml,apps/ios",major,M,
F-004,Retry WhatsApp listener startup failures,reliability,"`monitorWebChannel` retries on runtime disconnects but does not wrap initial listener startup in retry/backoff. If `monitorWebInbox` throws during startup (for transient transport/session issues), the monitor exits instead of recovering. Add startup error handling that feeds into the same reconnect policy path. The expected fix is resilient startup behavior for WhatsApp web monitoring.","src/web/auto-reply/monitor.ts,src/web/inbound/monitor.ts",major,M,
F-005,Include core runtime in coverage gate,correctness,"Coverage thresholds currently exclude many critical runtime areas (`src/agents/**`, `src/gateway/**`, `src/channels/**`, and others), so passing coverage can hide real regression risk. Narrow exclusions to genuinely non-unit-testable surfaces and add focused tests for high-risk logic paths. This makes coverage metrics representative of the actual runtime core. The expected fix is a meaningful coverage gate tied to production behavior.","vitest.config.ts,vitest.unit.config.ts,src/gateway,src/agents,src/channels",major,M,F-001
F-010,Resync chat state after event sequence gaps,reliability,"`GatewayBrowserClient.onGap` currently only sets `lastError`, but the chat view does not resynchronize history or clear stale in-flight run markers. After dropped events or reconnect windows, the UI can stay in a pseudo-working state with missing final content. Add automatic recovery on seq-gap by refreshing chat history and reconciling run/stream state. The expected fix is self-healing chat behavior after event-stream interruptions.","ui/src/ui/gateway.ts,ui/src/ui/app-gateway.ts,ui/src/ui/controllers/chat.ts",major,M,
F-011,Render placeholder for empty assistant turns,correctness,"Assistant turns with no visible text can be silently dropped: `extractText` treats empty text as null and `renderGroupedMessage` returns `nothing` when no markdown/tool/image blocks are present. This yields visually blank replies even though a run completed. Render an explicit fallback bubble for empty assistant turns and preserve timestamp/metadata so the turn remains understandable. The expected fix is transparent UX when a run ends without displayable text.","ui/src/ui/chat/message-extract.ts,ui/src/ui/chat/grouped-render.ts,ui/src/ui/views/chat.ts,src/agents/pi-embedded-runner/thinking.ts",major,M,
F-012,Add chat run watchdog recovery,reliability,"If terminal chat events are missed, `chatRunId` can remain active indefinitely and users see confusing empty or stalled states. Add a watchdog that triggers a bounded auto-recovery flow (history refresh plus run-state reconciliation) after a configurable idle timeout, with sensible defaults and an off switch for debugging. Back this with deterministic tests covering disconnects, dropped finals, and long tool-call runs. The expected fix is graceful recovery from missing terminal events.","ui/src/ui/controllers/chat.ts,ui/src/ui/app-gateway.ts,ui/src/ui/app-settings.ts,ui/src/ui/controllers/chat.test.ts",major,M,F-010
F-006,Restore dead-code CI reporting job,correctness,"The dead-code job is explicitly disabled (`if: false`) in CI, so stale exports and unreachable paths accumulate silently. Re-enable report-only scanning and artifact upload to regain visibility before enforcing hard failures. This prevents hidden maintenance drag and accidental dependency on dead paths. The expected fix is continuous dead-code signal without blocking development velocity.",".github/workflows/ci.yml,scripts/deadcode",minor,S,
F-007,Run Bun lane on main pushes,reliability,"CI currently skips the Bun test lane on push events even though Bun compatibility is a stated support target. That can allow runtime/packaging regressions to land on `main` unnoticed after merge. Execute at least one Bun validation lane on push (optionally reduced scope) to keep compatibility continuously verified. The expected fix is earlier detection of Bun-specific breakage.",".github/workflows/ci.yml,package.json",minor,S,
